"nom","type","courte_description","source","condition","avantage","normal","url"
"Abjurateur d’armure","[Général]","Le personnage sait conférer une protection meilleure qu'à la normale.","Dragon Magazine #325","[[École renforcée (Abjuration)]]","Les sorts d'abjuration lancés par le personnage qui confère un bonus à la CA confère un bonus supplémentaire de +1 à la CA.","","https://gemmaline.com/dons/dons-abjurateur-d-armure-1270.htm"
"Abolition des conditions","[Pacte]","Les étranges contraintes qu'imposent les vestiges lors de leur convocation sont sans importance pour le personnage.","Recueil de Magie","[[Aptitude de classe de Sceau de l’âme]]","Le personnage peut ignorer les conditions spéciales des vestiges avec lesquels il conclut des pactes.","","https://gemmaline.com/dons/dons-abolition-des-conditions-804.htm"
"Abondance de malveillance","[Souillure]","Le personnage peut canaliser sa souillure bien plus souvent que les autres","Codex Maléfique","[[Souillure légère], [Afflux de malveillance]]","Le personnage peut utiliser l'effet du don Afflux de malveillance 1 fois supplémentaire par jour.
Si sa souillure est modérée, il peut l'utiliser à la place 2 fois de plus par jour et 4 fois de plus par jour si elle est sévère.","Afflux de malveillance n'est utilisable qu'une fois par jour.","https://gemmaline.com/dons/dons-abondance-de-malveillance-2269.htm"
"Absorption de familier","[Général]","Le personnage absorbe le familier dans son corps, gagnant ses pouvoirs","Codex Drow","[[Aptitude de classe de Appel de familier]]","Le familier devient partie intégrante du personnage. Le bonus conféré par son familier double (par exemple, un familier crapaud confère désormais 6 pv et un familier rat un bonus de +4 aux jets de Vigueur). De plus, le personnage devient capable de communiquer avec les créatures du même type que son familier. Enfin, il acquiert le don Vigilance (mais ne peut l'utiliser comme prérequis à d'autres dons ou classe de prestige).
Le personnage ne perd pas d'XP pour avoir absorber son familier, celui-ci n'étant pas techniquement mort. Cela l'empêche aussi d’appeler un nouveau familier. le personnage ne gagne aucun autre avantage normalement dérivé d'un familier.
Si le personnage meurt, le familier meurt en même temps. Il subit alors les effets de la mort de son familier s'il est ressuscité.
L'ensemble des pouvoirs conférés par ce don sont des pouvoirs surnaturels.","","https://gemmaline.com/dons/dons-absorption-de-familier-2311.htm"
"Absorption de sort","[Monstrueux]","Le monstre peut lancer tout sort qu’il dérobe à l’esprit de son adversaire.","Libris Mortis","[[Cha 15], [Science de l’absorption d’énergie], [Niveau 5 de lanceur de sorts], [Pouvoir surnaturel d’absorption d’énergie]]","S’il confère un niveau négatif à un lanceur de sorts et que ce dernier perd un sort préparé, le monstre gagne la faculté de le jeter une fois (comme s’il l’avait préparé). Considérez l’effet du sort comme s’il avait été jeté par celui qui l’a préparé (niveau de lanceur de sorts, DD de sauvegarde, etc.). Le monstre n’a pas besoin d’avoir la valeur de caractéristique requise pour jeter le sort (par exemple, il n’est pas obligé d’avoir une Intelligence de 13 ou plus pour lancer une boule de feu dérobée à l’esprit d’un magicien).Le sort reste dans l’esprit du monstre pendant 1 heure. Il peut disposer d’un nombre maximum de sorts volés égal à son bonus de Charisme (1 minimum). Ceux qui viennent en plus sont tout simplement perdus.Ce don n’a aucun effet sur les lanceurs de sorts qui ne préparent pas leurs sorts (comme les ensorceleurs, qui perdent simplement un emplacement de sort par niveau négatif conféré) ou qui n’ont pas de sorts préparés (comme les guerriers ou les magiciens qui ont déjà jeté tous leurs sorts).","","https://gemmaline.com/dons/dons-absorption-de-sort-123.htm"
"Absorption de vie","[Monstrueux]","Le monstre absorbe une plus grande quantité d’énergie vitale de ses adversaires.","Libris Mortis","[[Cha 13], [Pouvoir surnaturel d’absorption d’énergie]]","Quand le monstre confère un niveau négatif à une créature, il ajoute son modificateur de Charisme aux points de vie que perd la cible en raison du niveau négatif. Il gagne alors un nombre de points de vie temporaires égal aux points de vie perdus par le sujet. Ces points de vie temporaires perdurent jusqu’à 1 heure.Par exemple, une créature touchée par un spectre (Cha 15) pourvu de ce don perd 2 points de vie supplémentaires par niveau négatif conféré. De son côté, le monstre gagne 2 points de vie temporaires supplémentaires par niveau négatif infligé.","","https://gemmaline.com/dons/dons-absorption-de-vie-124.htm"
"Absorption funeste","[Métamagie]","Les créatures vivantes blessées par le sort du personnage gagnent un niveau négatif.","Libris Mortis","[[]]","Le personnage peut modifier un sort infligeant des dégâts afin que les créatures blessées par celui-ci gagnent également un niveau négatif. Si le sujet a autant de niveaux négatifs que de dés de vie, il meurt. En revanche, s’il survit, le niveau négatif disparaît (pas de jet de Vigueur nécessaire) après un nombre d’heures égal au niveau de lanceur de sorts du personnage (jusqu’à un maximum de 15). Un sort d’absorption funeste mobilise un emplacement de sort de deux niveaux de plus que son niveau réel.","","https://gemmaline.com/dons/dons-absorption-funeste-125.htm"
"Absorption magique","[Général]","Le personnage peut utiliser sa résistance à la magie pour absorber les sorts","Codex Heroïque","[[Aptitude de classe de Vol de sorts], [Aptitude de classe de Absorption de sorts]]","Lorsqu'un sort ne peut passer outre la résistance à la magie du personnage (qu'elle soit naturelle ou due à un sort ou à un effet), celui-ci est absorbé comme par l'aptitude d'absorption de sorts. Si le sort ne peut être absorbé à cause de la limite de sorts ou le niveau du sort, la résistance à la magie s'applique normalement.","","https://gemmaline.com/dons/dons-absorption-magique-1341.htm"
"Acclimatation aquatique","[Régional]","Bien que terrestre, le personnage vient des lieux où les races aquatiques et l'eau sont plus que communes.","Manuel du Joueur de Gemmaline","[[Genasi d'eau[Cité de Verre]]]","Le personnage gagne un bonus de +4 à tous ses tests de natation. De plus, Natation est toujours une compétence de classe pour le personnage.","","https://gemmaline.com/dons/dons-acclimatation-aquatique-2111.htm"
"Acclimatation polaire","[Régional]","Le personnage s'est progressivement adapté à 1'environnement enneigé des contrées polaires de Faerûn.","Races de Faerun","[[Humain[Damara], Humain[Narfell], Humain[Nord], Humain[Vaasie]]]","Le personnage reçoit un bonus de +4 aux jets de sauvegarde contre les effets du froid. Il bénéficie également d'un bonus de +1 sur ses tests de Déplacement silencieux. Détection, Discrétion et Fouille dans les environnements dominés par la neige ou la glace.","","https://gemmaline.com/dons/dons-acclimatation-polaire-763.htm"
"Accord d’arme magique","[Général]","Grâce à son étude poussée des armes magiques, le personnage sait tirer avantage de tous leurs secrets.","Eberron - Univers","[[Création d’armes et armures magiques], [Niveau 5 de lanceur de sorts]]","Quand il manie une arme magique, le personnage bénéficie d'un bonus d'intuition de +1 aux jets d'attaque et de dégâts.","","https://gemmaline.com/dons/dons-accord-d-arme-magique-1114.htm"
"Acolyte du nécrocarnum","[Incarnum]","Le personnage a expérimenté le pouvoir du nécrocarnum, une forme sombre et corrompue de l'incarnum.","Magic of Incarnum","[[Alignement non-bon], [Capacité de modeler au moins un amalgâme]]","Le personnage peut modeler des amalgâmes avec le descripteur nécrocarnium malgré les posibles restrictions d'alignements.
Les DD des jets de sauvegarde de ces amalgâmes bénéficien d'un bonus profane de +1.","Les personnages non-mauvais ne peuvent modeler les amalgâmes ayant le descripteur Nécrocarnum.","https://gemmaline.com/dons/dons-acolyte-du-necrocarnum-1041.htm"
"Acrobate agile","[Général, Athlète]","Le personnage est doué pour enchaîner les acrobaties sans ralentir","Dragon Magazine #322","[[Degré de maîtrise de 5 en Acrobaties]]","Le personnage peut enchaîner les acrobaties à sa vitesse de déplacement normal en ne subissant qu'un malus de -5 à ses tests d'Acrobaties.","Utiliser la compétence Acrobaties en se déplaçant à sa pleine vitesse de déplacement confère un malus de -10 aux tests d'Acrobaties.","https://gemmaline.com/dons/dons-acrobate-agile-2254.htm"
"Acrobate blindé","[Général]","Le personnage est capable de mouvements agiles même avec la plus lourde des armures.","Player's Advantage : Rogue","[[Degré de maîtrise de 5 en Acrobaties], [Formation au port des armures lourdes], [Maîtrise de l’armure (une armure lourde/intermédiaire)]]","Le personnage peut réaliser des tests d'Acrobaties même lorsqu'il est ralentir par son armure (mais pas s'il est ralentit par sa charge).","On ne peut pas faire appel à la compétence Acrobaties si sa vitesse de déplacement est réduite par le poids de son armure","https://gemmaline.com/dons/dons-acrobate-blinde-2390.htm"
"Acrobate légendaire","[Épique]","La capacité à rester en équilibre et à faire des acrobaties du personnage est bien supérieure à la normale.","Codex Aventureux","[[Degré de maîtrise de 24 en Équilibre], [Degré de maîtrise de 24 en Acrobaties], [Dex 21]]","Le personnage ignore tous les malus dus au déplacement accéléré, à l'enchaînement d'acrobaties accéléré, ou au fait de courir tandis qu'il tente de rester en équilibre sur une surface étroite ou pendant qu'il fait des acrobaties.
","","https://gemmaline.com/dons/dons-acrobate-legendaire-1594.htm"
"Acrobate rapide","[Général, Athlète]","Le personnage est plus rapide que la moyenne lorsqu'il fait des roues, flips et autres acrobaties.","Cityscape","[[Degré de maîtrise de 7 en Acrobaties]]","Lorsque le personnage utilise sa compétence Acrobaties, il se déplace à une vitesse égal à la moitié de sa vitesse de base + 3 mètres.","Sans ce on, on ne se déplace que de la moitié de sa vitesse de base quand on utilise Acrobaties.","https://gemmaline.com/dons/dons-acrobate-rapide-1266.htm"
"Acteur","[Général]","Le personnage sait mettre en phase ses diverses aptitudes pour incarner un personnage.","Codex Heroïque","[[Degré de maîtrise de 5 en Déguisement], [Degré de maîtrise de 5 en Représentation (scène)]]","Représentation (scène) confère un bonus de synergie aux tests de Déguisement.
Déguisement confère un bonus de synergie aux tests de Représentation (scène).","","https://gemmaline.com/dons/dons-acteur-2432.htm"
